id,countryCode,name,city,address,postalCode,latitude,longitude,updated,comment
8812,LV,Citro (Latvijas Pasts),Stende,Brīvības iela 12,LV-3257,57.147063936,22.535501233,2026-02-06 14:45:50.697,
8810,LV,Aibe (Latvijas Pasts),Skrunda,Oskara Kalpaka iela 2,LV-3326,56.676404728,22.018600452,2026-02-06 14:45:24.686,
8809,LV,Aibe (Latvijas Pasts),Inčukalns,Atmodas iela 6,LV-2141,57.098330824,24.686583229,2026-02-06 14:45:09.952,
8808,LV,Lidl (Latvijas Pasts),Jelgava,Dobeles šoseja 45A,LV-3007,56.651825184,23.692777819,2026-02-06 14:44:55.374,
8805,LV,Top (Latvijas Pasts),Pāvilosta,Dzintaru iela 69,LV-3466,56.887209371,21.189194849,2026-02-06 14:44:16.466,
8804,LV,Elvi (Latvijas Pasts),Madliena,Tirdzniecības centrs,LV-5045,56.846576022,25.156731976,2026-02-06 14:44:04.227,
8802,LV,Rīgas 44. pasta nodaļa (Latvijas Pasts),Lidosta Rīga,Ziemeļu iela 10,LV-1044,56.927952079,23.987365526,2026-02-06 14:43:34.976,
8801,LV,Maxima (Latvijas Pasts),Rīga,Rusova iela 1,LV-1026,56.989593992,24.167169162,2026-02-06 14:43:19.822,
8796,LV,Lats (Latvijas Pasts),Tērvete,Īkšķīši,LV-3730,56.480626375,23.380625110,2026-02-06 14:41:56.844,
8784,LV,Maxima (Latvijas Pasts),Jēkabpils,Rīgas iela 109,LV-5202,56.501351975,25.873224711,2026-02-06 14:39:36.665,
8783,LV,Elvi (Latvijas Pasts),Koknese,Lāčplēša iela 5,LV-5113,56.645051167,25.433176680,2026-02-06 14:39:25.776,
8778,LV,Lats (Latvijas Pasts),Pļaviņas,Odzienas iela 2,LV-5120,56.617156368,25.720689912,2026-02-06 14:38:34.028,
8763,LV,Baldones Pasta nodaļa (Latvijas Pasts),Baldone,Rīgas iela 87,LV-2125,56.742936868,24.400386405,2026-02-06 14:35:56.174,
8762,LV,Elvi (Latvijas Pasts),Kadaga,Mežavēju iela 1,LV-2103,57.090733827,24.358120007,2026-02-06 14:35:18.885,
8761,LV,Elvi (Latvijas Pasts),Babīte,Liepu aleja 15A,LV-2101,56.956401987,23.948289095,2026-02-06 14:35:05.32,
8747,LV,Aibe (Latvijas Pasts),Vangaži,Gaujas iela 19A,LV-2136,57.092686730,24.544339261,2026-02-06 14:33:03.156,
8746,LV,Pepsi centrs (Latvijas Pasts),Rīga,Uzvaras bulvāris 10,LV-1048,56.938789798,24.090932150,2026-02-06 14:32:42.836,
8742,LV,Mego (Latvijas Pasts),Rīga,Biķernieku iela 16A,LV-1039,56.970826402,24.180803264,2026-02-06 14:32:01.961,
8739,LV,Elvi (Latvijas Pasts),Kalngale,Ērgļu iela 1B,LV-2163,57.081253846,24.158969531,2026-02-06 14:21:02.321,
8737,LV,Senā Bode (Latvijas Pasts),Jūrmala,Asaru prospekts 14,LV-2008,56.958928879,23.689433439,2026-02-06 14:20:30.271,
8734,LV,Mego (Latvijas Pasts),Saulkrasti,Bērzu aleja 1,LV-2161,57.314694511,24.414118446,2026-02-06 14:19:55.988,
8733,LV,Top (Latvijas Pasts),Aizpute,Zvaigžņu iela 2,LV-3456,56.718949012,21.607274962,2026-02-06 14:19:33.224,
8732,LV,Elvi (Latvijas Pasts),Ķegums,Ķeguma prospekts 5C,LV-5020,56.743748971,24.718083988,2026-02-06 14:19:09.292,
8725,LV,Veterinārā klīnika (Latvijas Pasts),Ozolnieki,Meliorācijas iela 2,LV-3018,56.688989089,23.791098234,2026-02-06 14:17:36.045,
8723,LV,TC Spice Home (Latvijas Pasts),Rīga,Jaunmoku iela 13,LV-1046,56.931405161,24.039500754,2026-02-06 14:17:04.718,
8720,LV,Top (Latvijas Pasts),Rūjiena,Brīvības iela 8,LV-4240,57.897405752,25.324602875,2026-02-06 14:16:18.178,
8719,LV,Mego (Latvijas Pasts),Brocēni,Lielcieceres iela 1A,LV-3851,56.683676954,22.566727703,2026-02-06 14:16:01.949,
8698,LV,Top (Latvijas Pasts),Salacgrīva,Rīgas iela 13,LV-4033,57.751100728,24.357115074,2026-02-06 14:09:00.454,
8689,LV,Ķekavas pasta nodaļa (Latvijas Pasts),Ķekava,Gaismas iela 17A,LV-2123,56.824275737,24.230118229,2026-02-06 14:07:12.394,
8685,LV,AlkOutlet (Latvijas Pasts),Saulkrasti,Ainažu iela 20,LV-2160,57.266336031,24.414752823,2026-02-06 14:05:52.589,
8666,LV,Circle K (Latvijas Pasts),Rīga,Brīvības gatve 265,LV-1006,56.979193698,24.184479773,2026-02-06 13:43:32.66,
8972,LV,Bulduru tirgus (Latvijas Pasts),Jūrmala,Meža prospekts 36 k-1,LV-2010,56.982814355,23.856933305,2026-02-07 10:14:51.763,
8637,LV,Mego (Latvijas Pasts),Rīga,Dzelzavas iela 74,LV-1082,56.955779602,24.192404245,2026-02-06 12:58:02.653,
7549,LT,Kubas (Udrop),Panevėžys,Kniaudiškių g. 42,37119,55.725864695,24.325816582,2026-01-01 12:30:04.898,Paštomatas stovi dešinėje pastato pusėje.
7545,LT,Senukai (Udrop),Panevėžys,Darbo a. 7,35220,55.726056865,24.342256934,2026-01-01 12:30:04.883,Paštomatas stovi kairėje įėjimo į pastatą pusėje.
8560,LV,ELVI (Udrop),Kuldīga,Gravas iela 1,LV-3301,56.973548,21.957985,2026-01-01 12:30:06.271,Paštomatas kairėje įvažiavimo į stovi parkavimo aikštelę pusėje.
9557,EE,Rävala Parkimismaja (Udrop),Tallinn,Rävala pst 5,10145,59.433514825,24.756582688,2026-01-01 12:30:09.464,Paštomatas kairėje įvažiavimo į parkavimo aikštelę pusėje, nuo Rävala gatvės.
0005,LT,Čia Market,Vilnius,S.Krasausko g. 1,25128,54.644724149,25.090887073,2026-01-01 12:30:00.791,Paštomatas matomas iš Lentvario gatvės.
